movie_title,rating,helpful,total,date,title,review
Insidious: Chapter 2,6,0,0,19 May 2014," Mostly a logically continuation that works well
","It's after the first movie and the police suspects Josh Lambert (Patrick Wilson) of killing the medium Elise Rainier. The police interrogates his wife Renai (Rose Byrne) about the night. Dalton seems to be normal but things are not right at home. It turns out that back in 1986, Elise had interviewed Josh, and Specs and Tucker rediscover the taped interview. Mother Lorraine (Barbara Hershey) sees a vision and everybody suspects there is a spirit. Josh refuses to acknowledge any of it except he is talking to an unseen person.This one misses Dalton in danger. Heck the kid is on the poster in the first one. There is something about a child in danger which raises the tension. That's why the best scene is the one with Dalton and the tin cans. When the string gets taut, that's a horror scene that I haven't seen before. It is a beautiful setup as if something is about to be pulled out of the closet. Patrick Wilson is great when he makes the switch. He's just as capable playing either side. The sequel follows logically from the original and works well for the most part. The other world is fascinating and very satisfying."
The Lobster,8,1,4,1 September 2016," strange with a point of view
",David (Colin Farrell) is taken to an isolated hotel. His wife has just left him. The hotel clients have 45 days to find a partner before they are turned into an animal. David's dog is his brother after failing to find a match. He selects to be changed into a lobster. There are particular rules and planned events to the hotel.This is one strange movie. It does have an internal logic which it is able to keep. It's weirdly funny at times. The deadpan mannerism doesn't keep the movie static. It is able to maintain a compelling story despite its peculiar world. This movie has ideas and it stays with them. Yorgos Lanthimos and his collaborator Efthymis Filippou have done some weird stuff like Dogtooth. This one is able to recruit top shelf acting talents. The second half gets over-extended as it tries to expand the world. The hotel is such a curious place that I would rather stay there for the whole movie.
The Benchwarmers,4,0,0,5 July 2014," really stupid premise
","Gus (Rob Schneider) is a fair ballplayer but he was picked on as a kid. He's now a landscaper married to Liz (Molly Sims) who is only concern about having a baby. Richie (David Spade) is an annoying little video store clerk. Clark (Jon Heder) is the hopelessly idiotic newspaper delivery boy. They come to the rescue of a chubby geek being picked on by a little league baseball team. The three guy challenge and win against the kids team. The chubby kid's billionaire nerd dad Mel (Jon Lovitz) comes up with a tournament idea. The three guys play against all the kids baseball teams for the prize of a real ballpark.This is a really stupid premise. I'm not saying this is illogical or unrealistic. That goes without saying. This is a problem because the 3 guys aren't actually underdogs. They need to be underdogs in a sports movie sense. I'm not sure it's that much fun watching adults beating little kids. And quite frankly, I would just intentionally walk Gus every time.The only saving grace is that Rob Schneider is actually likable in this. He's not playing his usual jerk character. When Molly Sims pops up for the first time, I had to roll my eyes. After Rob plays his character for awhile, I can see the marriage happening. He just needs to play this character in a better movie. This is a poor mess that a late night writing session created. I bet somebody had a little much and thought it would be funny to have adults win against little kids baseball. It's not actually funny and only a couple of physical gags garner any chuckles."
Moneyball,8,0,2,10 November 2013," Traditional underdog story
","Based on the book Moneyball, Oakland A's GM Billy Beane must rebuilt his ball club after the team is dismantled. He doesn't have the money but he'll use the computer to crunch the numbers to find his island of misfit toys. I'm not going to debate baseball history but this is a compelling story.Brad Pitt is wonderful as the fast talking GM. It's a tougher role than most people are give him credit for. Jonah Hill is the affable geeky number cruncher Peter Brand. The story has all the great touches. The underdog, the entrenched establishment, the overwhelming odds, this movie has got it all. But I suspect the biggest advantage it has is writer Aaron Sorkin and his pen."
Whip It,8,1,4,29 January 2016," fun enjoyable movie
","Shy Bliss Cavendar (Ellen Page) is an outsider in the conservative town of Bodeen, Texas. Her former pageant winning mother Brooke (Marcia Gay Harden) insists on entering her and her sister. While on a shopping trip with her mother to Austin, she is taken by some roller derby girls. With the help of her friend Pash (Alia Shawkat), she goes to see them. Maggie Mayhem (Kristen Wiig) tells her to be her own hero. She lies about her age and makes it on a team.Ellen Page has big time charisma in her little stature. I love her friendship with Pash and her relationship with her mother. The story is very standard sports and coming-of-age movie. I like the team and their chemistry. I like their coach Razor. On the other hand, the boyfriend is too much of a standard indie rocker guy. He's an unimaginative character. Drew Barrymore's directing is good for a relative novice. Overall, this is a fun enjoyable movie with a lovely star."
The Avengers,9,2,7,17 August 2013," Avengers vs TDKR
","Nick Fury brings together Earth's mightiest heroes to stop Loki who is unleashing an alien invasion.Robert Downey Jr. makes this good and Joss Whedon makes this great. Downey has already shown that he's a movie star. He could power a whole franchise all by himself but the Avengers is more than just a one man team. This is a quintessential Joss Whedon Scooby gang, and he's great at the snappy dialog and friend-hate comradry. This is a whole team of heroes working together.Because of its timing, this will be compared to The Dark Knight Rises. Most seems to give TDKR more credit because of its darker grittier tone. Both are great but I like Avengers better. Honestly, TDKR is inferior to TDK. There are logic problems with TDKR. There are too many comic-book moves in that film. It's melodramatic in its emotionally manipulations. The Avengers is simply better written. Its dialog is better. It may be simplistic but it's more fun."
National Treasure: Book of Secrets,5,0,1,4 May 2014," Starts out well but just turns stupid/boring
","Gates family history is Patrick Gates (Jon Voight)'s grandfather Charles' recollection of the night of Lincoln's assassination. Charles's father Thomas was given a book to decipher. It turned out to be Booth's diary and the man was actually a member of Knights of the Golden Circle. KGC were confederate saboteurs working in the north. The diary had a clue to a treasure that the confederates want. Thomas threw the pages into the fire and was killed for it. The confederate spy was able to retrieve a part of a page. Thomas Gates was always a hero in the story until now when Mitch Wilkinson (Ed Harris) shows up with the missing page. Mitch is a antiquities soldier of fortune and wants the treasure. His ancestor was a confederate general. The missing page has Thomas Gates' name along with the other conspirators. Everybody now believes that Thomas was a Booth co-conspirator and Ben (Nicolas Cage) has to clear his family name with the help of Riley Poole (Justin Bartha), ex-girlfriend Abigail Chase (Diane Kruger), and even his mother Emily Appleton (Helen Mirren) who can't stand his father.The gang is reunited. The bickering couple chemistry is funny and good. The group has a lot of fun. The movie seems to be trying very hard to be cutesy fun. The addition of Helen Mirren added surprisingly little. Ed Harris is a little too scary and mean. He seems capable of killing anyone. They travel around the world in a wild chase for treasure. It's one big monument after another. It just turns very repetitive as they find clues in a series of over-the-top capers. About halfway into the movie, it gets way too ridiculous even for a National Treasure movie. I could still let this movie get a pass, but the final crazy City of Gold really sank this one. When they got on the ridiculous tippy top table, I couldn't wait for this to end."
Blade Runner 2049,9,21,45,10 October 2017," pure cinema
","It's 2049 Los Angeles. K (Ryan Gosling) is a Blade Runner hunting for old Nexus 8 replicants under LAPD Lieutenant Joshi (Robin Wright). After the 2022 blackout, most records have been erased or corrupted. Tyrell is out of business and replicant production had been outlawed until Niander Wallace (Jared Leto). Wallace is producing a new obedient replicant. Luv (Sylvia Hoeks) is his replicant henchwoman. K hunts down an old Nexus 8 and in the process, he discovers a surprise which leads to Deckard (Harrison Ford). Joi (Ana de Armas) is K's holographic computer girlfriend. Mariette (Mackenzie Davis) is a prostitute.This is pure cinema although I can see some object to the length and dark depressing sensibilities. For the most part, the action is not intended to be fun. Some people will feel the long running time more than others. An easy test is whether the person likes the original or any cyberpunk sci-fi anime. This takes the original's visual mastery and adds a more compelling detective mystery. Any BR fan will undoubtedly love this unless they are some nitpicking fanatic. Non-fans may find this more appealing... or not.The original's detective story and pacing are its major flaws. This sequel has a real detective story with a real mystery. The writing is impeccable. The designs take the original vision and dives right in. Roger Deakins' work is beyond beautiful. Villeneuve is at the top of his game. Gosling is a more effective lead. Ford comes in during the second half and is a more fun Deckard. Ana de Armas is a gorgeous vision of girl perfection. Sylvia Hoeks is an amazing villain. The movie tackles all of the ideas without hitting one over the head. This is a great film although I'm not sure if popular modern audience will take to it. The opening box office certainly does not suggest that."
Million Dollar Arm,7,0,0,4 April 2015," fine underdog sports movie.
","Womanizing JB Bernstein (Jon Hamm) and Aash (Aasif Mandvi) are small sport agents struggling against their former employer Procorp. After watching Aash's cricket game and Susan Boyle, JB comes up with an idea to get pitching arms from India for the LA Dodgers owner Chang. They convince Tom House (Bill Paxton) the highly improbable task to train the amateurs. Brenda (Lake Bell) is his winning medical student tenant. Vivek is his local manager. With eager Amit Rohan and sleepy scout Ray Poitevint (Alan Arkin), they run a $1 million reality contest.This is a fine underdog sports movie. I like the kids' stories. I wish they expanded more on their lives. Jon Hamm is a bit too intense and he needs a bit more humor. Lake Bell is terrific. The movie is also restricted by the real story. The boys could never go to the World Series. They also didn't crash and burn. They end up in a middling area where they get some success but not enough to be good climax material. The movie is also too long at over 2 hours but it has a good solid base of an underdog movie."
Angels & Demons,6,0,1,5 October 2013," At least Hanks got a haircut
","The Pope is dead, and the conclave has been locked in to choose the new pope. Four cardinals are designated 'preferitti', and then are kidnapped by the assumed disbanded Illuminati. In the meanwhile, a powerful and dangerous prototype of antimatter has been stolen. Robert Landgon (Tom Hanks) is called upon once again to solve the crime and prevent mass destruction.At least Tom Hanks got a haircut this time. The science is laughable. So at least that matches with the rest of the story. The locations are great, and the action helps push the story out in the end. I could almost forgive all preposterous stuff in this movie."
Kill Bill: Vol. 2,7,0,2,2 May 2014," Not as great as hoped for but still a very good watch
","Beatrix Kiddo (Uma Thurman) is the bride. She tracks down Budd (Michael Madsen) but he takes her down first. He puts her in a coffin and buries her. Elle Driver (Daryl Hannah) double crosses Budd and kills him. Beatrix manages to escape and finds Elle in Budd's trailer. They have a knock down fight. Afterwards the only one left is Bill (David Carradine). There are also flashbacks to the wedding rehearsal before the massacre and Beatrix's training with master Pai Mei.It's slightly less compelling than part 1. Part 1 is bookended with 2 amazing fight scenes with lots of action in between. Part 2 really only has the great fight between Beatrix And Elle in its middle. The training segment is a bit of fun. The ending with Bill is somewhat a letdown. Quentin Tarantino should have realized that the girl is a great opportunity to subvert the traditional innocent girlie character. But that opportunity is lost here. The whole Last Chapter is a little too much talk and not enough action. Considering the first part ended with the big fight with O-Ren Ishii, this part ends with something less."
First Man,6,2,5,23 December 2018," Dry
","In 1961, Neil Armstrong (Ryan Gosling) is a test pilot for the X-15 with nerves of steel. He manages to save the landing after some difficulties. Others dismiss him as simply an egghead engineer. He is severely private but he does break down over his daughter's death. Janet (Claire Foy) is his dutiful wife. He joins the Gemini program run by former astronaut Deke Slayton (Kyle Chandler) which would lead him to be the first man on the moon.This is Damien Chazelle's first film without music as the subject. He is able to bring action to the space exploration. There are a couple of nice visceral close shaves. The Gemini uncontrolled spin is really thrilling. The marriage is interesting with two compelling actors. The over-riding feeling is a dry unemotional narrative. Most of that is due to the quiet reserve of Armstrong. He is not a man of emoting and the movie has to work within the constrains of his personality. The production is impeccable. The vibe doesn't have the emotional highs and lows that are necessarily for a truly intense film."
The Hunger Games: Mockingjay - Part 1,6,0,4,2 September 2015," good set up for finale
","Katniss Everdeen (Jennifer Lawrence) is still haunted by the Games. President Snow (Donald Sutherland) is holding Peeta (Josh Hutcherson) hostage and using him as a media tool. Katniss does a deal with District 13 President Coin (Julianne Moore) to rescue the Victors in exchange for her being the Mockingjay symbol of the resistance.I like the idea of Wag the Dog. However it has to be executed with precision. Those scenes of trying to handle Katniss could have been funny or foreboding. Woody Harrelson has some fun but there are too many awkward moments with the media idea. The writing needs to be sharper. Katniss indirectly causes the destruction of the hospital and it doesn't even occurs to her.I don't mind limiting the action in this episode. It's trying to set up a lot of things for the finale. Although the rescue ending could have been an exciting sequence. It needs Katniss joining the rescue team. The switching back and forth drains the tension out of the action. It wouldn't cost that much and it would be a great way to end the movie. At the very least, it would silence most of the complainers about the lack of action. This is a good set up for the finale. There are some awkwardness and minor annoyances. Lawrence is able to deliver on a difficult role. There are some good additions to the franchise. I expect a great explosive final chapter."
The Legend of Bagger Vance,5,0,2,13 June 2014," Magical Negro fable
","The story is told by Hardy Greaves who growing up in Savannah, Georgia as a child idolized golfer Rannulph Junah (Matt Damon). Rannulph had married wealthy Adele Invergordon (Charlize Theron). However he returns from WWI broken and disappears. Adele moves on with her father's business to build a golf course in 1928. She finds Rannulph return to town but a year later, the great depression hit. The golf course is complete but the financial strain drive Adele's father to suicide. Adele struggles to keep the golf course open by organizing an exhibition between Bobby Jone (Joel Gretsch) and Walter Hagen (Bruce McGill) for a prize of $10k. In a town meeting, people demand for a local golfer but the drunken Captain Junah is reluctant to play. While trying to get back his swing late one night, Bagger Vance (Will Smith) asks for a job to caddy for the big game.It takes a bit of exposition to get started. Charlize Theron and Matt Damon starts off with an interesting period piece. Then Will Smith comes in and it slowly becomes obvious that this is some kind of Magical Negro that he's playing. This is apparently a fable where racism is not much mentioned nor noticed. It demands that the viewer forget any historical realism since this is a fable after all.The best thing about this is that Robert Redford has made a beautiful looking movie. It is however slow moving, and lacks the needed energy to keep up the pace for the whole 2 hours. My biggest problem is that the fable needs much more magic especially visually. Redford does a lot of speeding up the clouds and clouds rolling by and shots of nature and shots of sky and various other in-camera moves to denote magic. It needs something more. It needs something much more. It needs to put this movie definitively into the magical territories. This is not the simple period piece that Redford is creating. (small unimportant spoiler: even the last scene is too uncertain. Bagger Vance is waving old Hardy Greaves over. Redford really needs to spell out what's going on there.)The acting seems fine to me. Matt Damon and Charlize Theron have some nice scenes together. They have the best fun and I enjoy them the most. I'm not able to tell if the accents are accurate but I don't think it's so obvious that it would offend anybody other than southerners. Will Smith is playing someone unreal. He is almost otherworldly. If this isn't a fable, I'm tempted to say that he's playing it too fake. In the end, it's an uneven viewing experience."
Vertigo,8,2,4,29 November 2013," slow 1st half, good obsessive 2nd half
","San Francisco police detective Scottie Ferguson retires after suffering vertigo during a roof top chase. A college friend Gavin Elster is a wealthy shipbuilder who hires him to follow his wife Madeleine (Kim Novak). He thinks she is being possessed. Scottie finds her obsessed with a dead ancestor, and attempting suicide. He rescues her and falls for her.This movie does move a bit too slow especially in the first half. The difficulty lies in all the following in the car. It's not the most exciting thing to drive around. In a modern movie, those scenes would be severely edited down. It's not like they were exciting car chases.It's not my favorite Hitchcock movie. I did like James Stewart when he gets obsessive. He's good in that section. As for being too old for the part, that to me seems to work for him in this movie. His obsession becomes more self-destructive. It has a creepiness to it. I have to admit that I didn't recognize Novak as Judy Barton. It confused me a bit at first. I think people of that era would have an easier time recognizing Kim Novak. As homage to its importance and inventive camera work, I'll add an extra point or else I would have given it 7/10."
"The Adventures of Priscilla, Queen of the Desert",8,0,1,17 August 2015," great characters
","Ralph Waite aka Bernadette Bassenger (Terence Stamp) suffered a friend's death and agrees to go with Tick Belrose aka Mitzi Del Bra (Hugo Weaving) to perform in Alice Springs, a desert resort town in the middle of Australia. Adam Whitely aka Felicia Jollygoodfellow (Guy Pearce) is eager to join and buys a touring bus christening her Priscilla, Queen of the Desert.This has some fun comedic touches. However the trick of this movie is that the guys don't play it too broadly. Stamp and Weaving are actually playing it reserved. They are more wore-down middle age men than flamboyant gays. Guy Pearce is the only one playing it somewhat broadly. The costumes are great ridiculousness. The movie is full of big laughs and also a touching character study."
Black Swan,8,1,2,15 February 2014," Amazing Natalie Portman performance
","Nina Sayers (Natalie Portman) is a New York City ballerina living with her overbearing mother (Barbara Hershey). The prima ballerina Beth MacIntyre (Winona Ryder) is being replaced for the opening production of Swan Lake. Nina is the favorite, but new dancer Lily (Mila Kunis) is impressive as well. Nina fits the role of the beautiful, fearful, fragile White Swan perfectly, but she can't get the Black Swan role right unlike Lily. She's obsessed with her deteriorating body as her paranoid mind collapses.This is a great performance from Natalie Portman. There's a sense of chaos and insanity falling down on her. It definitely has the sensibility of director Darren Aronofsky. Although I do wonder where he's going with this movie at times. It has a realism and a horror feel to the movie. Portman's body slowly turns into a horror show is reminiscent of Jeff Goldblum picking apart his body in 'The Fly'. Mila Kunis is playing a pretty interesting mean girl, or is it all in Nina's head. That's the beauty of this movie. It plays not just with Nina's mind, but the audience's mind."
Changeling,8,1,2,29 November 2014," Some great performances
","In 1928 Los Angeles, single mother Christine Collins (Angelina Jolie) is one of the first supervisors of telephone operators. Her son Walter goes missing after a day at work. The LAPD is slow to help. The police is under pressure for being corrupt. Five months later, Captain J.J. Jones (Jeffrey Donovan) gives her an abandoned boy dressed up to be Walter and promoted as a great reunion. However Christine refuses to accept the lie and the cops dismiss her. She enlists the help of Rev. Gustav Briegleb (John Malkovich). The police throws her into the insane asylum. Meanwhile Detective Lester Ybarra (Michael Kelly) is investigating a case leading a child killing ring which Jones aims to cover up.This is a harrowing based on true story. Angelina Jolie does a great performance. The story does meander as all true stories tend to do which takes aways some of the intensity. It definitely goes to a different place than what I expected. I wasn't expecting child murders. Jeffrey Donovan also has a terrific performance as the villain of the piece. It's one movie where I hoped for a happy ending but that's not the case in real life."
Pirates of the Caribbean: On Stranger Tides,4,0,1,1 December 2013," mess of murky characters
","Captain Jack Sparrow (Johnny Depp) returns for the fourth installment of this most unlikely franchise. This time he's after the fabled Fountain of Youth. It's as outlandish as ever. He runs across Angelica Teach (Penélope Cruz)who's been impersonating him. She was once preparing to be a nun when he found her in a convent. Soon he finds out that she's the cruel pirate Blackbeard (Ian McShane)'s daughter, and he's forced into leading them to the Fountain of Youth. Meanwhile, Captain Barbossa (Geoffrey Rush) is now working for the British and is hot pursuit.This is a mess of questionable characters with murky motives. The lightness of Keira Knightley and Orlando Bloom are gone. We've left with a convoluted plot with unlikeable characters. Jack Sparrow was the rogue in the first one, but in this one, he's the nicest. How did that happened? The newcomer in this one is Penélope Cruz. Let's just say the outfits don't release her biggest assets. Of course she was pregnant during the filming. It doesn't make the movie any better.Then there is the action. It's has the required swashbuckling, but it lacks the great memorable set pieces. To be honest, I can't remember a single set piece from this movie. Other than Jack Sparrow, there isn't much to watch for in this one."
Men in Black 3,7,0,1,27 August 2013," Willy is back. Kind of missed Tommy.
","Big Willy is back but Tommy is sitting this one out. Agent J (Will Smith) travels back in time to team up with younger Agent K (Josh Brolin).Although Josh does a good impression of Tommy Lee Jones, I still miss the grumpy old man. The chemistry is just different. The story works well and it has great flow. It is a compelling watch. It continues with the same style. It feels like more of the same which is mostly a good thing. Will Smith is truly in charge of this franchise. And this is his movie all the way. The controversy over Chinese interference doesn't really affect it too much."
Come and See,7,0,7,13 March 2014," Mix of realism and surrealism
","Young Byelorussian youth Florya finds a rifle buried in the sand. He joins the resistance against the Nazis. He falls for beautiful peasant girl Glascha. A bombardment deafens him. He struggles around the war torn world. After getting separated once again, he pretends to be a simple farm boy. He is rounded up by the invading German force with the other town folks. He barely escapes a massacre of innocent villagers.The first half has a lot of surrealism. Some of it is quite disturbing, and not necessarily the big obvious things like the dead bodies. The encounter with Glascha is the woods is completely wacko. I still don't understand what's going on between the two kids. Talking directly into the screen and extreme closeups are very disturbing. The dead body Hitler scarecrow is probably the most normal thing in that section. It keeps the movie from finding its feet. It unbalances what should be a compelling introduction.The technicals of the movie is fair. I do wonder if they used real ammunitions. The big explosions are shocking. The tracer rounds look very real. I'm pretty sure they killed that cow. I doubt they used any animatronics to do the rolling of the cow's eye. When they use real flamethrowers and real ammunition, it leaves all the fake Hollywood effects behind.And then when they burn down the church, I wanted it to be more realistic. I guess the Russians don't have the Hollywood expertise on stunts so a burn man is out of the question. The Russians put a lot of man and material into this. The wild orgy of violence is impressive. The second half of this movie is far more engaging. The movie is odd mix of realistic action and surreal emotionalism."
The New World,7,0,0,26 July 2016," slow dreamy beauty
","It's 1607. John Smith (Colin Farrell) arrives in the new world in chains. Captain Christopher Newport establishes the Jamestown, Virginia settlement. He pardons John Smith and puts him in charge of an expedition. With rising tension, John is taken prisoner by the natives. Pocahontas is the favorite of Chief Powhatan. She saves John's life and he becomes a part of the community. He is released back to the settlement to find starvation and death stalking the remaining settlers. They are saved by Pocahontas. Powhatan banishes her and orders an attack when the English won't leave.Terrence Malick has mastered the slow dreamy beautiful visual style. He makes the native world an idyllic paradise. The English world is the one with a foreboding menace. The dreamy mood works well for the native civilization. The action also works well with surprisingly scary quick native warriors. The English world feels disjointed. The story is told in snippets. Malick is much more interested in the dreamlike mood. It doesn't have the intensity and urgency of the story which leads me to wonder if a fictional story would be better. In that way, accuracy and specificity would not matter quite as much. Pocahontas in the English world is not as compelling as John Smith in the native world. Q'orianka Kilcher is an intriguing new actress. She's able to maintain interest throughout."
Scarface,8,1,4,18 July 2014," Gangster violence to a whole new level
","In May 1980, Castro releases thousands of Cuban prisoners including Tony Montana (Al Pacino) from Mariel Harbor. His friend Manny Ribera (Steven Bauer) gets a contract to kill a political prisoner for green cards for both of them. They're soon working for drug dealer Omar Suarez (F. Murray Abraham) to double cross some Columbians. Tony takes advantage and becomes a hit-man for big boss Frank Lopez (Robert Loggia). He is after Lopez's girlfriend Elvira Hancock (Michelle Pfeiffer) and his whole empire. His mother (Miriam Colon) disapproves of his work and tries to separate him from his adoring sister Gina (Mary Elizabeth Mastrantonio).Al Pacino gives one of the most memorable weird performance of the world. Director Brian De Palma brings an ultra-violent sense to the material. It brings almost joy to this violent villain character. It reminds me of the old WB gangster movies where violence rules. This pushes it to an even higher level. It's a new icon of the gangster movies."
